Time,Cooling Demand(kW),Heating Demand(kW),Return Water T(F),Supply Water T(F)
01-Jun-17 00:00:00,7.667233944,0,58.27999878,56.98400116
01-Jun-17 00:05:00,7.668852329,0,58.57170486,57.68407059
01-Jun-17 00:10:00,7.670471191,0,58.77991867,58.22870636
01-Jun-17 00:15:00,7.672089577,0,59.00154877,58.4993248
01-Jun-17 00:20:00,7.673708439,0,59.25576019,58.6530838
01-Jun-17 00:25:00,7.675326824,0,59.42955017,58.74435043
01-Jun-17 00:30:00,7.676945686,0,59.59633636,58.88588333
01-Jun-17 00:35:00,7.678564072,0,59.77662277,59.03524017
01-Jun-17 00:40:00,7.680182934,0,60.01397705,59.25182724
01-Jun-17 00:45:00,7.681801796,0,60.22085571,59.43261337
01-Jun-17 00:50:00,7.683420181,0,60.40476227,59.659832
01-Jun-17 00:55:00,7.685039043,0,60.66378021,59.83866119
01-Jun-17 01:00:00,7.686657429,0,60.82958603,60.00485229
01-Jun-17 01:05:00,7.688276291,0,61.02080536,60.22551346
01-Jun-17 01:10:00,7.689894676,0,61.25792694,60.406147
01-Jun-17 01:15:00,7.691513538,0,61.43483734,60.65935516
01-Jun-17 01:20:00,7.693132401,0,61.68581009,60.81287003
01-Jun-17 01:25:00,7.694750786,0,61.89490891,60.97649765
01-Jun-17 01:30:00,7.696369648,0,62.11868286,61.18468857
01-Jun-17 01:35:00,7.697988033,0,62.33757401,61.38716888
01-Jun-17 01:40:00,7.699606895,0,62.48934937,61.5632019
01-Jun-17 01:45:00,7.701225281,0,62.76745605,61.71403885
01-Jun-17 01:50:00,7.702844143,0,62.96926117,61.90434265
01-Jun-17 01:55:00,7.704462528,0,63.19602585,62.09862137
01-Jun-17 02:00:00,7.70608139,0,63.39916229,62.27984619
01-Jun-17 02:05:00,7.707700253,0,63.63809967,62.43121338
01-Jun-17 02:10:00,7.709318638,0,63.79448318,62.60320282
01-Jun-17 02:15:00,7.7109375,0,64.04653168,62.75909805
01-Jun-17 02:20:00,7.712555885,0,64.22766876,62.91405487
01-Jun-17 02:25:00,7.714174747,0,64.41123962,63.04831314
01-Jun-17 02:30:00,7.715793133,0,64.5694046,63.23120117
01-Jun-17 02:35:00,7.717411995,0,64.788414,63.38909912
01-Jun-17 02:40:00,7.719030857,0,64.96880341,63.63680267
01-Jun-17 02:45:00,7.720649242,0,65.11355591,63.78520203
01-Jun-17 02:50:00,7.722268105,0,65.27106476,63.91939926
01-Jun-17 02:55:00,7.72388649,0,65.41543579,64.14876556
01-Jun-17 03:00:00,7.725505352,0,65.58080292,64.29547119
01-Jun-17 03:05:00,7.727123737,0,65.72009277,64.45310211
01-Jun-17 03:10:00,7.728742599,0,65.85936737,64.60435486
01-Jun-17 03:15:00,7.730360985,0,66.02089691,64.77508545
01-Jun-17 03:20:00,7.731979847,0,66.15991974,64.94057465
01-Jun-17 03:25:00,7.733598709,0,66.32965851,65.09596252
01-Jun-17 03:30:00,7.735217094,0,66.40444183,65.30845642
01-Jun-17 03:35:00,7.736835957,0,66.57092285,65.47201538
01-Jun-17 03:40:00,7.738454342,0,66.69889832,65.64720154
01-Jun-17 03:45:00,7.740073204,0,66.78213501,65.80714417
01-Jun-17 03:50:00,7.741691589,0,66.93830109,65.95005798
01-Jun-17 03:55:00,7.743310452,0,67.01007843,66.13424683
01-Jun-17 04:00:00,7.744928837,0,67.18955231,66.28987122
01-Jun-17 04:05:00,7.746547699,0,67.28427887,66.50102997
01-Jun-17 04:10:00,7.748166561,0,67.42754364,66.63618469
01-Jun-17 04:15:00,7.749784946,0,67.52445984,66.77648163
01-Jun-17 04:20:00,7.751403809,0,67.65752411,66.94190216
01-Jun-17 04:25:00,7.753022194,0,67.79017639,67.03177643
01-Jun-17 04:30:00,7.754641056,0,67.92333984,67.18868256
01-Jun-17 04:35:00,7.756259441,0,68.01997375,67.32774353
01-Jun-17 04:40:00,7.757878304,0,68.18060303,67.46485138
01-Jun-17 04:45:00,7.759497166,0,68.23664093,67.52552795
01-Jun-17 04:50:00,7.761115551,0,68.47460175,67.64690399
01-Jun-17 04:55:00,7.762734413,0,68.5345993,67.73191071
01-Jun-17 05:00:00,7.764352798,0,68.6775589,67.8914032
01-Jun-17 05:05:00,7.765971661,0,68.8221283,67.95755768
01-Jun-17 05:10:00,7.767590046,0,68.96244049,68.10299683
01-Jun-17 05:15:00,7.769208908,0,69.16474152,68.21711731
01-Jun-17 05:20:00,7.770827293,0,69.34261322,68.32765961
01-Jun-17 05:25:00,7.772446156,0,69.51560211,68.44983673
01-Jun-17 05:30:00,7.774065018,0,69.74391174,68.5848465
01-Jun-17 05:35:00,7.775683403,0,69.93312836,68.64656067
01-Jun-17 05:40:00,7.777302265,0,70.12266541,68.74879456
01-Jun-17 05:45:00,7.77892065,0,70.28759003,68.83905029
01-Jun-17 05:50:00,7.780539513,0,70.53105164,68.94573212
01-Jun-17 05:55:00,7.782157898,0,70.72077179,68.99279022
01-Jun-17 06:00:00,7.78377676,0,70.86841583,69.10968781
01-Jun-17 06:05:00,7.785395145,0,71.1210556,69.1242981
01-Jun-17 06:10:00,7.787014008,0,71.27169037,69.19340515
01-Jun-17 06:15:00,7.78863287,0,71.43502808,69.28340149
01-Jun-17 06:20:00,7.790251255,0,71.67474365,69.36799622
01-Jun-17 06:25:00,7.791870117,0,71.77760315,69.36799622
01-Jun-17 06:30:00,7.793488503,0,71.95744324,69.45227051
01-Jun-17 06:35:00,7.795107365,0,72.09474182,69.47794342
01-Jun-17 06:40:00,7.79672575,0,72.16720581,69.59060669
01-Jun-17 06:45:00,7.798344612,0,72.21199799,69.62840271
01-Jun-17 06:50:00,7.799963474,0,72.20359802,69.67331696
01-Jun-17 06:55:00,7.80158186,0,72.18674469,69.80330658
01-Jun-17 07:00:00,7.803200722,0,72.0633316,69.83329773
01-Jun-17 07:05:00,7.804819107,0,72.00248718,69.93756104
01-Jun-17 07:10:00,7.806437969,0,71.94340515,70.03560638
01-Jun-17 07:15:00,7.808056355,0,71.9203949,70.20968628
01-Jun-17 07:20:00,7.809675217,0,71.85199738,70.38788605
01-Jun-17 07:25:00,7.811293602,0,71.88110352,70.52559662
01-Jun-17 07:30:00,7.812912464,0,71.85279846,70.58560181
01-Jun-17 07:35:00,7.814531326,0,71.88279724,70.6543045
01-Jun-17 07:40:00,7.816149712,0,71.876297,70.70360565
01-Jun-17 07:45:00,7.817768574,0,71.9240036,70.7492981
01-Jun-17 07:50:00,7.819386959,0,71.95999908,70.77890015
01-Jun-17 07:55:00,7.821005821,0,72.00130463,70.80960083
01-Jun-17 08:00:00,7.822624207,0,72.03129578,70.86959839
01-Jun-17 08:05:00,7.824243069,0,72.05360413,70.9046402
01-Jun-17 08:10:00,7.825861931,0,72.11322784,70.98860168
01-Jun-17 08:15:00,7.827480316,0,72.15630341,70.99996948
